#,CodeSignaler,Level,Country,XP
148,jahepi,Level 86,Mexico,756919
149,danielhong35,Level 86,United States,756654
150,unicorn2017,Level 86,Japan,747882
151,andrey_r1,Level 86,Ukraine,736967
152,allanns,Level 86,Kenya,733343
153,Tammo,Level 86,Germany,731280
154,a_l1,Level 86,United States,730993
155,bryantt23,Level 86,United States,729120
156,harpette123,Level 86,France,727221
157,coder9999,Level 86,Japan,724391
158,Mihai_Iorga,Level 86,Romania,722163
159,mripol_x,Level 86,Germany,714320
160,ed_m9_js,Level 86,Brazil,712269
161,jahir_i,Level 86,Bangladesh,711671
162,ilocker,Level 86,Vietnam,710988
163,chameleon_tartu,Level 86,Estonia,708054
164,dcoles,Level 86,United States,707900
165,henry_fjs,Level 86,Vietnam,704647
166,john_silver,Level 85,Turkey,698974
167,kebridge,Level 85,Poland,688087
168,willbuckingham,Level 85,United States,686708
169,ogbonna_c,Level 85,Nigeria,685836
170,kane_,Level 85,Antarctica,685780
171,erik_b10,Level 85,United States,685565
172,deweyredman,Level 85,United States,685149
173,jakzo,Level 85,Australia,680440
174,nadiminty_k,Level 85,India,676573
175,cxlove,Level 85,China,673561
176,HasanAjouz,Level 85,Syrian Arab Republic,673525
177,cifko,Level 85,Slovakia,672474
178,jariasf,Level 85,Peru,670131
179,harpette,Level 85,France,668547
180,pythonk,Level 85,United States,667778
181,manuelharder,Level 85,Canada,666941
182,jams,Level 85,United States,662208
183,sam_0908,Level 85,India,659142
184,jim_mcg,Level 85,United States,658867
185,minato,Level 85,Albania,655814
186,levonog,Level 85,Armenia,654626
187,MohammadReza,Level 85,Iran (Islamic Republic of),653136
188,baphomet_b,Level 85,Mexico,652650
189,palinar,Level 85,India,652062
190,#sem_.,Level 85,Armenia,651958
191,suriyhapra_b,Level 85,United States,650670
192,Rene,Level 85,Brazil,648956
193,jakob_k1,Level 85,Austria,647629
194,StanislavUsh,Level 85,Russian Federation,646160
195,an_shuman777,Level 85,India,645707
196,furkanarabaci,Level 85,Turkey,645486
197,alper_hankendi,Level 84,Turkey,642836
198,thucnguyen,Level 84,Vietnam,640759
199,okrosdaniel,Level 84,Hungary,640412
200,vandung2kk2,Level 84,Vietnam,640136
201,navidfazly,Level 84,Iran (Islamic Republic of),640131
202,zecookiez,Level 84,Canada,638011
203,quanpt,Level 84,Vietnam,637540
204,mr_james,Level 84,Singapore,636616
